"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Jumoke Academy District","","2013-2014","Grade 4","Percent","Suspensions","11.1"
"Jumoke Academy District","","2013-2014","Grade 5","Percent","Suspensions","9.6"
"Jumoke Academy District","","2013-2014","Grade 6","Percent","Suspensions","9.5"
"Jumoke Academy District","","2013-2014","Grade 7","Percent","Suspensions","17.7"
"Jumoke Academy District","","2013-2014","Grade 8","Percent","Suspensions","14.8"
"Jumoke Academy District","","2013-2014","Grade 9","Percent","Suspensions","-9999"
"Jumoke Academy District","","2013-2014","Grade 10","Percent","Suspensions","-9999"
"Jumoke Academy District","","2013-2014","Grade 11","Percent","Suspensions","0"
"Jumoke Academy District","","2013-2014","Grade 12","Percent","Suspensions","0"
"Jumoke Academy District","","2014-2015","Kindergarten","Percent","Suspensions","-9999"
"Jumoke Academy District","","2014-2015","Grade 1","Percent","Suspensions","-6666"
"Jumoke Academy District","","2014-2015","Grade 2","Percent","Suspensions","11.3"
"Jumoke Academy District","","2014-2015","Grade 3","Percent","Suspensions","-9999"
"Jumoke Academy District","","2014-2015","Grade 4","Percent","Suspensions","9.2"
"Jumoke Academy District","","2014-2015","Grade 5","Percent","Suspensions","17.6"
"Jumoke Academy District","","2014-2015","Grade 6","Percent","Suspensions","15.1"
"Jumoke Academy District","","2014-2015","Grade 7","Percent","Suspensions","26.2"
"Jumoke Academy District","","2014-2015","Grade 8","Percent","Suspensions","23.7"
"Jumoke Academy District","","2014-2015","Grade 9","Percent","Suspensions","-9999"
"Jumoke Academy District","","2014-2015","Grade 10","Percent","Suspensions","-9999"
"Jumoke Academy District","","2014-2015","Grade 11","Percent","Suspensions","-9999"
"Jumoke Academy District","","2014-2015","Grade 12","Percent","Suspensions","0"
"Jumoke Academy District","","2015-2016","Kindergarten","Percent","Suspensions","-9999"
"Jumoke Academy District","","2015-2016","Grade 1","Percent","Suspensions","10.4"
"Jumoke Academy District","","2015-2016","Grade 2","Percent","Suspensions","-9999"
"Jumoke Academy District","","2015-2016","Grade 3","Percent","Suspensions","14.7"
"Jumoke Academy District","","2015-2016","Grade 4","Percent","Suspensions","25.0"
"Jumoke Academy District","","2015-2016","Grade 5","Percent","Suspensions","7.9"
"Jumoke Academy District","","2015-2016","Grade 6","Percent","Suspensions","15.1"
"Jumoke Academy District","","2015-2016","Grade 7","Percent","Suspensions","9.7"
"Jumoke Academy District","","2015-2016","Grade 8","Percent","Suspensions","18.4"
"Jumoke Academy District","","2015-2016","Grade 9","Percent","Suspensions","-9999"
"Jumoke Academy District","","2015-2016","Grade 10","Percent","Suspensions","-9999"
"Jumoke Academy District","","2015-2016","Grade 11","Percent","Suspensions","-9999"
"Jumoke Academy District","","2015-2016","Grade 12","Percent","Suspensions","-9999"
"Jumoke Academy District","","2016-2017","Kindergarten","Percent","Suspensions","-9999"
"Jumoke Academy District","","2016-2017","Grade 1","Percent","Suspensions","9.9"
"Jumoke Academy District","","2016-2017","Grade 2","Percent","Suspensions","-9999"
"Jumoke Academy District","","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Jumoke Academy District","","2016-2017","Grade 4","Percent","Suspensions","-9999"
"Jumoke Academy District","","2016-2017","Grade 5","Percent","Suspensions","28.9"
"Jumoke Academy District","","2016-2017","Grade 6","Percent","Suspensions","29.0"
"Jumoke Academy District","","2016-2017","Grade 7","Percent","Suspensions","27.5"
"Jumoke Academy District","","2016-2017","Grade 8","Percent","Suspensions","13.5"
"Jumoke Academy District","","2016-2017","Grade 9","Percent","Suspensions","-9999"
"Jumoke Academy District","","2016-2017","Grade 10","Percent","Suspensions","-9999"
"Jumoke Academy District","","2016-2017","Grade 11","Percent","Suspensions","-9999"
"Jumoke Academy District","","2016-2017","Grade 12","Percent","Suspensions","-9999"
"Kent School District","","2009-2010","Kindergarten","Percent","Suspensions","-6666"
"Kent School District","","2009-2010","Grade 1","Percent","Suspensions","-6666"
"Kent School District","","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Kent School District","","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Kent School District","","2009-2010","Grade 4","Percent","Suspensions","-6666"
"Kent School District","","2009-2010","Grade 5","Percent","Suspensions","-6666"
"Kent School District","","2009-2010","Grade 6","Percent","Suspensions","-6666"
"Kent School District","","2009-2010","Grade 7","Percent","Suspensions","-6666"
"Kent School District","","2009-2010","Grade 8","Percent","Suspensions","-6666"
"Kent School District","","2009-2010","Grade 9","Percent","Suspensions","0"
"Kent School District","","2009-2010","Grade 10","Percent","Suspensions","0"
"Kent School District","","2009-2010","Grade 11","Percent","Suspensions","0"
"Kent School District","","2009-2010","Grade 12","Percent","Suspensions","0"
"Kent School District","","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Kent School District","","2010-2011","Grade 1","Percent","Suspensions","-6666"
"Kent School District","","2010-2011","Grade 2","Percent","Suspensions","-6666"
"Kent School District","","2010-2011","Grade 3","Percent","Suspensions","-6666"
"Kent School District","","2010-2011","Grade 4","Percent","Suspensions","-6666"
"Kent School District","","2010-2011","Grade 5","Percent","Suspensions","-6666"
"Kent School District","","2010-2011","Grade 6","Percent","Suspensions","-6666"
"Kent School District","","2010-2011","Grade 7","Percent","Suspensions","-6666"
"Kent School District","","2010-2011","Grade 8","Percent","Suspensions","-6666"
"Kent School District","","2010-2011","Grade 9","Percent","Suspensions","0"
"Kent School District","","2010-2011","Grade 10","Percent","Suspensions","0"
"Kent School District","","2010-2011","Grade 11","Percent","Suspensions","0"
"Kent School District","","2010-2011","Grade 12","Percent","Suspensions","0"
"Kent School District","","2011-2012","Kindergarten","Percent","Suspensions","-6666"
"Kent School District","","2011-2012","Grade 1","Percent","Suspensions","-6666"
"Kent School District","","2011-2012","Grade 2","Percent","Suspensions","-6666"
"Kent School District","","2011-2012","Grade 3","Percent","Suspensions","-6666"
"Kent School District","","2011-2012","Grade 4","Percent","Suspensions","-6666"
"Kent School District","","2011-2012","Grade 5","Percent","Suspensions","-6666"
"Kent School District","","2011-2012","Grade 6","Percent","Suspensions","-6666"
"Kent School District","","2011-2012","Grade 7","Percent","Suspensions","-6666"
"Kent School District","","2011-2012","Grade 8","Percent","Suspensions","-6666"
"Kent School District","","2011-2012","Grade 9","Percent","Suspensions","0"
"Kent School District","","2011-2012","Grade 10","Percent","Suspensions","0"
"Kent School District","","2011-2012","Grade 11","Percent","Suspensions","0"
"Kent School District","","2011-2012","Grade 12","Percent","Suspensions","0"
"Kent School District","","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Kent School District","","2012-2013","Grade 1","Percent","Suspensions","-6666"
"Kent School District","","2012-2013","Grade 2","Percent","Suspensions","-6666"
"Kent School District","","2012-2013","Grade 3","Percent","Suspensions","-6666"
"Kent School District","","2012-2013","Grade 4","Percent","Suspensions","-6666"
"Kent School District","","2012-2013","Grade 5","Percent","Suspensions","-6666"
"Kent School District","","2012-2013","Grade 6","Percent","Suspensions","-6666"
"Kent School District","","2012-2013","Grade 7","Percent","Suspensions","-6666"
"Kent School District","","2012-2013","Grade 8","Percent","Suspensions","-6666"
"Kent School District","","2012-2013","Grade 9","Percent","Suspensions","0"
"Kent School District","","2012-2013","Grade 10","Percent","Suspensions","0"
"Kent School District","","2012-2013","Grade 11","Percent","Suspensions","0"
"Kent School District","","2012-2013","Grade 12","Percent","Suspensions","0"
"Kent School District","","2013-2014","Kindergarten","Percent","Suspensions","-6666"
"Kent School District","","2013-2014","Grade 1","Percent","Suspensions","-6666"
"Kent School District","","2013-2014","Grade 2","Percent","Suspensions","-6666"
"Kent School District","","2013-2014","Grade 3","Percent","Suspensions","-6666"
"Kent School District","","2013-2014","Grade 4","Percent","Suspensions","-6666"
"Kent School District","","2013-2014","Grade 5","Percent","Suspensions","-6666"
"Kent School District","","2013-2014","Grade 6","Percent","Suspensions","-6666"
"Kent School District","","2013-2014","Grade 7","Percent","Suspensions","-6666"
"Kent School District","","2013-2014","Grade 8","Percent","Suspensions","-6666"
"Kent School District","","2013-2014","Grade 9","Percent","Suspensions","0"
"Kent School District","","2013-2014","Grade 10","Percent","Suspensions","0"
"Kent School District","","2013-2014","Grade 11","Percent","Suspensions","0"
"Kent School District","","2013-2014","Grade 12","Percent","Suspensions","0"
"Kent School District","","2014-2015","Kindergarten","Percent","Suspensions","-6666"
"Kent School District","","2014-2015","Grade 1","Percent","Suspensions","-6666"
"Kent School District","","2014-2015","Grade 2","Percent","Suspensions","-6666"
"Kent School District","","2014-2015","Grade 3","Percent","Suspensions","-6666"
"Kent School District","","2014-2015","Grade 4","Percent","Suspensions","-6666"
"Kent School District","","2014-2015","Grade 5","Percent","Suspensions","-6666"
"Kent School District","","2014-2015","Grade 6","Percent","Suspensions","-6666"
"Kent School District","","2014-2015","Grade 7","Percent","Suspensions","-6666"
"Kent School District","","2014-2015","Grade 8","Percent","Suspensions","-6666"
"Kent School District","","2014-2015","Grade 9","Percent","Suspensions","0"
"Kent School District","","2014-2015","Grade 10","Percent","Suspensions","0"
"Kent School District","","2014-2015","Grade 11","Percent","Suspensions","0"
"Kent School District","","2014-2015","Grade 12","Percent","Suspensions","0"
"Kent School District","","2015-2016","Kindergarten","Percent","Suspensions","-6666"
"Kent School District","","2015-2016","Grade 1","Percent","Suspensions","-6666"
"Kent School District","","2015-2016","Grade 2","Percent","Suspensions","-6666"
"Kent School District","","2015-2016","Grade 3","Percent","Suspensions","-6666"
"Kent School District","","2015-2016","Grade 4","Percent","Suspensions","-6666"
"Kent School District","","2015-2016","Grade 5","Percent","Suspensions","-9999"
"Kent School District","","2015-2016","Grade 6","Percent","Suspensions","-6666"
"Kent School District","","2015-2016","Grade 7","Percent","Suspensions","-9999"
"Kent School District","","2015-2016","Grade 8","Percent","Suspensions","-6666"
"Kent School District","","2015-2016","Grade 9","Percent","Suspensions","0"
"Kent School District","","2015-2016","Grade 10","Percent","Suspensions","0"
"Kent School District","","2015-2016","Grade 11","Percent","Suspensions","0"
"Kent School District","","2015-2016","Grade 12","Percent","Suspensions","0"
"Kent School District","","2016-2017","Kindergarten","Percent","Suspensions","-6666"
"Kent School District","","2016-2017","Grade 1","Percent","Suspensions","-6666"
"Kent School District","","2016-2017","Grade 2","Percent","Suspensions","-6666"
"Kent School District","","2016-2017","Grade 3","Percent","Suspensions","-6666"
"Kent School District","","2016-2017","Grade 4","Percent","Suspensions","-6666"
"Kent School District","","2016-2017","Grade 5","Percent","Suspensions","-6666"
"Kent School District","","2016-2017","Grade 6","Percent","Suspensions","-9999"
"Kent School District","","2016-2017","Grade 7","Percent","Suspensions","-6666"
"Kent School District","","2016-2017","Grade 8","Percent","Suspensions","-6666"
"Kent School District","","2016-2017","Grade 9","Percent","Suspensions","0"
"Kent School District","","2016-2017","Grade 10","Percent","Suspensions","0"
"Kent School District","","2016-2017","Grade 11","Percent","Suspensions","0"
"Kent School District","","2016-2017","Grade 12","Percent","Suspensions","0"
"Killingly School District","901540500","2009-2010","Kindergarten","Percent","Suspensions","-9999"
"Killingly School District","901540500","2009-2010","Grade 1","Percent","Suspensions","-9999"
"Killingly School District","901540500","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Killingly School District","901540500","2009-2010","Grade 3","Percent","Suspensions","5.4"
"Killingly School District","901540500","2009-2010","Grade 4","Percent","Suspensions","4.2"
"Killingly School District","901540500","2009-2010","Grade 5","Percent","Suspensions","3.2"
"Killingly School District","901540500","2009-2010","Grade 6","Percent","Suspensions","15.0"
"Killingly School District","901540500","2009-2010","Grade 7","Percent","Suspensions","19.4"
"Killingly School District","901540500","2009-2010","Grade 8","Percent","Suspensions","14.8"
"Killingly School District","901540500","2009-2010","Grade 9","Percent","Suspensions","17.9"
"Killingly School District","901540500","2009-2010","Grade 10","Percent","Suspensions","20.8"
"Killingly School District","901540500","2009-2010","Grade 11","Percent","Suspensions","25.7"
"Killingly School District","901540500","2009-2010","Grade 12","Percent","Suspensions","22.7"
"Killingly School District","901540500","2010-2011","Kindergarten","Percent","Suspensions","-9999"
"Killingly School District","901540500","2010-2011","Grade 1","Percent","Suspensions","-9999"
"Killingly School District","901540500","2010-2011","Grade 2","Percent","Suspensions","-9999"
"Killingly School District","901540500","2010-2011","Grade 3","Percent","Suspensions","-9999"
"Killingly School District","901540500","2010-2011","Grade 4","Percent","Suspensions","3.1"
"Killingly School District","901540500","2010-2011","Grade 5","Percent","Suspensions","11.4"
"Killingly School District","901540500","2010-2011","Grade 6","Percent","Suspensions","5.8"
"Killingly School District","901540500","2010-2011","Grade 7","Percent","Suspensions","24.6"
"Killingly School District","901540500","2010-2011","Grade 8","Percent","Suspensions","23.2"
"Killingly School District","901540500","2010-2011","Grade 9","Percent","Suspensions","14.3"
"Killingly School District","901540500","2010-2011","Grade 10","Percent","Suspensions","17.4"
"Killingly School District","901540500","2010-2011","Grade 11","Percent","Suspensions","21.8"
"Killingly School District","901540500","2010-2011","Grade 12","Percent","Suspensions","20.7"
"Killingly School District","901540500","2011-2012","Kindergarten","Percent","Suspensions","-9999"
"Killingly School District","901540500","2011-2012","Grade 1","Percent","Suspensions","-9999"
"Killingly School District","901540500","2011-2012","Grade 2","Percent","Suspensions","-9999"
"Killingly School District","901540500","2011-2012","Grade 3","Percent","Suspensions","-9999"
"Killingly School District","901540500","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Killingly School District","901540500","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Killingly School District","901540500","2011-2012","Grade 6","Percent","Suspensions","11.9"
"Killingly School District","901540500","2011-2012","Grade 7","Percent","Suspensions","9.4"
"Killingly School District","901540500","2011-2012","Grade 8","Percent","Suspensions","19.4"
"Killingly School District","901540500","2011-2012","Grade 9","Percent","Suspensions","13.4"
"Killingly School District","901540500","2011-2012","Grade 10","Percent","Suspensions","10.6"
"Killingly School District","901540500","2011-2012","Grade 11","Percent","Suspensions","9.3"
"Killingly School District","901540500","2011-2012","Grade 12","Percent","Suspensions","11.5"
"Killingly School District","901540500","2012-2013","Kindergarten","Percent","Suspensions","-9999"
"Killingly School District","901540500","2012-2013","Grade 1","Percent","Suspensions","3.3"
"Killingly School District","901540500","2012-2013","Grade 2","Percent","Suspensions","-9999"
"Killingly School District","901540500","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Killingly School District","901540500","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Killingly School District","901540500","2012-2013","Grade 5","Percent","Suspensions","11.8"
"Killingly School District","901540500","2012-2013","Grade 6","Percent","Suspensions","10.7"
"Killingly School District","901540500","2012-2013","Grade 7","Percent","Suspensions","18.8"
"Killingly School District","901540500","2012-2013","Grade 8","Percent","Suspensions","15.0"
"Killingly School District","901540500","2012-2013","Grade 9","Percent","Suspensions","26.5"
"Killingly School District","901540500","2012-2013","Grade 10","Percent","Suspensions","15.2"
"Killingly School District","901540500","2012-2013","Grade 11","Percent","Suspensions","11.6"
"Killingly School District","901540500","2012-2013","Grade 12","Percent","Suspensions","14.3"
"Killingly School District","901540500","2013-2014","Kindergarten","Percent","Suspensions","-9999"
"Killingly School District","901540500","2013-2014","Grade 1","Percent","Suspensions","-9999"
"Killingly School District","901540500","2013-2014","Grade 2","Percent","Suspensions","-9999"
"Killingly School District","901540500","2013-2014","Grade 3","Percent","Suspensions","3.5"
"Killingly School District","901540500","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Killingly School District","901540500","2013-2014","Grade 5","Percent","Suspensions","8.6"
"Killingly School District","901540500","2013-2014","Grade 6","Percent","Suspensions","9.1"
"Killingly School District","901540500","2013-2014","Grade 7","Percent","Suspensions","12.8"
"Killingly School District","901540500","2013-2014","Grade 8","Percent","Suspensions","13.3"
"Killingly School District","901540500","2013-2014","Grade 9","Percent","Suspensions","26.4"
"Killingly School District","901540500","2013-2014","Grade 10","Percent","Suspensions","12.1"
"Killingly School District","901540500","2013-2014","Grade 11","Percent","Suspensions","12.0"
"Killingly School District","901540500","2013-2014","Grade 12","Percent","Suspensions","10.2"
"Killingly School District","901540500","2014-2015","Kindergarten","Percent","Suspensions","-9999"
"Killingly School District","901540500","2014-2015","Grade 1","Percent","Suspensions","-9999"
"Killingly School District","901540500","2014-2015","Grade 2","Percent","Suspensions","-9999"
"Killingly School District","901540500","2014-2015","Grade 3","Percent","Suspensions","3.9"
"Killingly School District","901540500","2014-2015","Grade 4","Percent","Suspensions","4.2"
"Killingly School District","901540500","2014-2015","Grade 5","Percent","Suspensions","3.4"
"Killingly School District","901540500","2014-2015","Grade 6","Percent","Suspensions","14.7"
"Killingly School District","901540500","2014-2015","Grade 7","Percent","Suspensions","9.2"
"Killingly School District","901540500","2014-2015","Grade 8","Percent","Suspensions","12.2"
"Killingly School District","901540500","2014-2015","Grade 9","Percent","Suspensions","22.9"
"Killingly School District","901540500","2014-2015","Grade 10","Percent","Suspensions","12.4"
"Killingly School District","901540500","2014-2015","Grade 11","Percent","Suspensions","12.4"
"Killingly School District","901540500","2014-2015","Grade 12","Percent","Suspensions","10.9"
"Killingly School District","901540500","2015-2016","Kindergarten","Percent","Suspensions","-9999"
"Killingly School District","901540500","2015-2016","Grade 1","Percent","Suspensions","-9999"
"Killingly School District","901540500","2015-2016","Grade 2","Percent","Suspensions","-6666"
"Killingly School District","901540500","2015-2016","Grade 3","Percent","Suspensions","-9999"
"Killingly School District","901540500","2015-2016","Grade 4","Percent","Suspensions","-9999"
"Killingly School District","901540500","2015-2016","Grade 5","Percent","Suspensions","5.4"
"Killingly School District","901540500","2015-2016","Grade 6","Percent","Suspensions","3.5"
"Killingly School District","901540500","2015-2016","Grade 7","Percent","Suspensions","6.5"
"Killingly School District","901540500","2015-2016","Grade 8","Percent","Suspensions","11.4"
"Killingly School District","901540500","2015-2016","Grade 9","Percent","Suspensions","16.9"
"Killingly School District","901540500","2015-2016","Grade 10","Percent","Suspensions","12.7"
"Killingly School District","901540500","2015-2016","Grade 11","Percent","Suspensions","11.2"
"Killingly School District","901540500","2015-2016","Grade 12","Percent","Suspensions","11.0"
"Killingly School District","901540500","2016-2017","Kindergarten","Percent","Suspensions","-6666"
"Killingly School District","901540500","2016-2017","Grade 1","Percent","Suspensions","-9999"
"Killingly School District","901540500","2016-2017","Grade 2","Percent","Suspensions","-9999"
"Killingly School District","901540500","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Killingly School District","901540500","2016-2017","Grade 4","Percent","Suspensions","4.9"
"Killingly School District","901540500","2016-2017","Grade 5","Percent","Suspensions","6.0"
"Killingly School District","901540500","2016-2017","Grade 6","Percent","Suspensions","3.7"
"Killingly School District","901540500","2016-2017","Grade 7","Percent","Suspensions","7.2"
"Killingly School District","901540500","2016-2017","Grade 8","Percent","Suspensions","11.0"
"Killingly School District","901540500","2016-2017","Grade 9","Percent","Suspensions","22.2"
"Killingly School District","901540500","2016-2017","Grade 10","Percent","Suspensions","12.1"
"Killingly School District","901540500","2016-2017","Grade 11","Percent","Suspensions","14.4"
"Killingly School District","901540500","2016-2017","Grade 12","Percent","Suspensions","14.4"
"LEARN","","2009-2010","Kindergarten","Percent","Suspensions","-9999"
"LEARN","","2009-2010","Grade 1","Percent","Suspensions","-9999"
"LEARN","","2009-2010","Grade 2","Percent","Suspensions","-9999"
"LEARN","","2009-2010","Grade 3","Percent","Suspensions","-9999"
"LEARN","","2009-2010","Grade 4","Percent","Suspensions","6.7"
"LEARN","","2009-2010","Grade 5","Percent","Suspensions","-9999"
"LEARN","","2009-2010","Grade 6","Percent","Suspensions","-6666"
"LEARN","","2009-2010","Grade 7","Percent","Suspensions","-6666"
"LEARN","","2009-2010","Grade 8","Percent","Suspensions","-9999"
"LEARN","","2009-2010","Grade 9","Percent","Suspensions","-9999"
"LEARN","","2009-2010","Grade 10","Percent","Suspensions","-9999"
"LEARN","","2009-2010","Grade 11","Percent","Suspensions","0"
"LEARN","","2009-2010","Grade 12","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Kindergarten","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Grade 1","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Grade 2","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Grade 3","Percent","Suspensions","-6666"
"LEARN","","2010-2011","Grade 4","Percent","Suspensions","-6666"
"LEARN","","2010-2011","Grade 5","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Grade 6","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Grade 7","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Grade 8","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Grade 9","Percent","Suspensions","16.2"
"LEARN","","2010-2011","Grade 10","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Grade 11","Percent","Suspensions","-9999"
"LEARN","","2010-2011","Grade 12","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Kindergarten","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Grade 1","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Grade 2","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Grade 3","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Grade 4","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Grade 5","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Grade 6","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Grade 7","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Grade 8","Percent","Suspensions","-9999"
"LEARN","","2011-2012","Grade 9","Percent","Suspensions","12.2"
"LEARN","","2011-2012","Grade 10","Percent","Suspensions","21.9"
"LEARN","","2011-2012","Grade 11","Percent","Suspensions","26.5"
"LEARN","","2011-2012","Grade 12","Percent","Suspensions","-9999"
"LEARN","","2012-2013","Kindergarten","Percent","Suspensions","-9999"
"LEARN","","2012-2013","Grade 1","Percent","Suspensions","-9999"
"LEARN","","2012-2013","Grade 2","Percent","Suspensions","-9999"
"LEARN","","2012-2013","Grade 3","Percent","Suspensions","-9999"
"LEARN","","2012-2013","Grade 4","Percent","Suspensions","-9999"
"LEARN","","2012-2013","Grade 5","Percent","Suspensions","8.6"
"LEARN","","2012-2013","Grade 6","Percent","Suspensions","-9999"
"LEARN","","2012-2013","Grade 7","Percent","Suspensions","-9999"
"LEARN","","2012-2013","Grade 8","Percent","Suspensions","-9999"
"LEARN","","2012-2013","Grade 9","Percent","Suspensions","13.4"
"LEARN","","2012-2013","Grade 10","Percent","Suspensions","14.2"
"LEARN","","2012-2013","Grade 11","Percent","Suspensions","22.4"
"LEARN","","2012-2013","Grade 12","Percent","Suspensions","23.3"
"LEARN","","2013-2014","Kindergarten","Percent","Suspensions","-9999"
"LEARN","","2013-2014","Grade 1","Percent","Suspensions","-9999"
"LEARN","","2013-2014","Grade 2","Percent","Suspensions","-9999"
"LEARN","","2013-2014","Grade 3","Percent","Suspensions","-9999"
"LEARN","","2013-2014","Grade 4","Percent","Suspensions","-9999"
"LEARN","","2013-2014","Grade 5","Percent","Suspensions","-9999"
"LEARN","","2013-2014","Grade 6","Percent","Suspensions","-9999"
"LEARN","","2013-2014","Grade 7","Percent","Suspensions","-9999"
"LEARN","","2013-2014","Grade 8","Percent","Suspensions","-9999"
"LEARN","","2013-2014","Grade 9","Percent","Suspensions","9.1"
"LEARN","","2013-2014","Grade 10","Percent","Suspensions","14.2"
"LEARN","","2013-2014","Grade 11","Percent","Suspensions","14.4"
"LEARN","","2013-2014","Grade 12","Percent","Suspensions","8.8"
"LEARN","","2014-2015","Kindergarten","Percent","Suspensions","-9999"
"LEARN","","2014-2015","Grade 1","Percent","Suspensions","-9999"
"LEARN","","2014-2015","Grade 2","Percent","Suspensions","-9999"
"LEARN","","2014-2015","Grade 3","Percent","Suspensions","-9999"
"LEARN","","2014-2015","Grade 4","Percent","Suspensions","6.6"
"LEARN","","2014-2015","Grade 5","Percent","Suspensions","-9999"
"LEARN","","2014-2015","Grade 6","Percent","Suspensions","-9999"
"LEARN","","2014-2015","Grade 7","Percent","Suspensions","15.4"
"LEARN","","2014-2015","Grade 8","Percent","Suspensions","-9999"
"LEARN","","2014-2015","Grade 9","Percent","Suspensions","13.4"
"LEARN","","2014-2015","Grade 10","Percent","Suspensions","8.3"
"LEARN","","2014-2015","Grade 11","Percent","Suspensions","5.1"
"LEARN","","2014-2015","Grade 12","Percent","Suspensions","6.5"
"LEARN","","2015-2016","Kindergarten","Percent","Suspensions","-9999"
"LEARN","","2015-2016","Grade 1","Percent","Suspensions","-9999"
"LEARN","","2015-2016","Grade 2","Percent","Suspensions","-9999"
"LEARN","","2015-2016","Grade 3","Percent","Suspensions","-9999"
"LEARN","","2015-2016","Grade 4","Percent","Suspensions","-9999"
"LEARN","","2015-2016","Grade 5","Percent","Suspensions","-9999"
"LEARN","","2015-2016","Grade 6","Percent","Suspensions","-9999"
"LEARN","","2015-2016","Grade 7","Percent","Suspensions","24.5"
"LEARN","","2015-2016","Grade 8","Percent","Suspensions","13.2"
"LEARN","","2015-2016","Grade 9","Percent","Suspensions","13.4"
"LEARN","","2015-2016","Grade 10","Percent","Suspensions","16.4"
"LEARN","","2015-2016","Grade 11","Percent","Suspensions","16.6"
"LEARN","","2015-2016","Grade 12","Percent","Suspensions","7.7"
"LEARN","","2016-2017","Kindergarten","Percent","Suspensions","-9999"
"LEARN","","2016-2017","Grade 1","Percent","Suspensions","3.9"
"LEARN","","2016-2017","Grade 2","Percent","Suspensions","13.3"
"LEARN","","2016-2017","Grade 3","Percent","Suspensions","-9999"
"LEARN","","2016-2017","Grade 4","Percent","Suspensions","7.0"
"LEARN","","2016-2017","Grade 5","Percent","Suspensions","-9999"
"LEARN","","2016-2017","Grade 6","Percent","Suspensions","17.3"
"LEARN","","2016-2017","Grade 7","Percent","Suspensions","28.6"
"LEARN","","2016-2017","Grade 8","Percent","Suspensions","19.2"
"LEARN","","2016-2017","Grade 9","Percent","Suspensions","16.6"
"LEARN","","2016-2017","Grade 10","Percent","Suspensions","17.4"
"LEARN","","2016-2017","Grade 11","Percent","Suspensions","14.1"
"LEARN","","2016-2017","Grade 12","Percent","Suspensions","12.2"
"Lebanon School District","901142390","2009-2010","Kindergarten","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2009-2010","Grade 1","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2009-2010","Grade 4","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2009-2010","Grade 5","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2009-2010","Grade 6","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2009-2010","Grade 7","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2009-2010","Grade 8","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2009-2010","Grade 9","Percent","Suspensions","8.0"
"Lebanon School District","901142390","2009-2010","Grade 10","Percent","Suspensions","10.1"
"Lebanon School District","901142390","2009-2010","Grade 11","Percent","Suspensions","10.6"
"Lebanon School District","901142390","2009-2010","Grade 12","Percent","Suspensions","15.6"
"Lebanon School District","901142390","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2010-2011","Grade 1","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2010-2011","Grade 2","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2010-2011","Grade 3","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2010-2011","Grade 4","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2010-2011","Grade 5","Percent","Suspensions","11.3"
"Lebanon School District","901142390","2010-2011","Grade 6","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2010-2011","Grade 7","Percent","Suspensions","7.6"
"Lebanon School District","901142390","2010-2011","Grade 8","Percent","Suspensions","-9999"
